date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:53	2112506/2112506	---MC-	200	added ('OK')	image/png	etag:%2240d15b68723c9b38c75e3cd12d8ab070%22	https://images/0v3jtNKflewqQFb8xueL6QPBu8w.png?width=2000&height=2600	C:/My%20Web%20Sites/Janus%20Studios/images/0v3jtNKflewqQFb8xueL6QPBu8waddf.png	(from https://janusmakes.framer.website/)
12:05:53	1729842/1729842	---MC-	200	added ('OK')	image/png	etag:%22351b3cbe215c4ff56b787a31c280e651%22	https://images/j6WLB8eaRzkRXdye3gKdqUDH4FQ.png?width=3750&height=3750	C:/My%20Web%20Sites/Janus%20Studios/images/j6WLB8eaRzkRXdye3gKdqUDH4FQ67b5.png	(from https://janusmakes.framer.website/)
12:05:53	3624677/3624677	---MC-	200	added ('OK')	image/png	etag:%22681257b2e4a5aa8a6e1164a02197354e%22	https://images/XZGCxb60H1UriekndZb10najM.png?width=3840&height=2160	C:/My%20Web%20Sites/Janus%20Studios/images/XZGCxb60H1UriekndZb10najMcd01.png	(from https://janusmakes.framer.website/)
12:05:56	2934708/2934708	---MC-	200	added ('OK')	image/png	etag:%223fde2e52c70bf5dab4f292caae227b55%22	https://images/TE0YDXGMjN3MO7hGK2zChE6Gyg.png?width=2500&height=2500	C:/My%20Web%20Sites/Janus%20Studios/images/TE0YDXGMjN3MO7hGK2zChE6Gygc1b5.png	(from https://janusmakes.framer.website/)
12:05:58	2054335/2054335	---MC-	200	added ('OK')	image/png	etag:%22543c2ec34b914058265ae46c17d007cb%22	https://images/KeajAzLqk7eXI71swtu0MSdWGs.png?width=2000&height=2000	C:/My%20Web%20Sites/Janus%20Studios/images/KeajAzLqk7eXI71swtu0MSdWGse0e1.png	(from https://janusmakes.framer.website/)
12:06:02	1366974/1366974	---MC-	200	added ('OK')	image/png	etag:%227e5df69f3376488b9abea34a52352bcc%22	https://images/wLVyBmgjThfSMcLjNoiBS8iu8.png?width=2000&height=2000	C:/My%20Web%20Sites/Janus%20Studios/images/wLVyBmgjThfSMcLjNoiBS8iu8e0e1.png	(from https://janusmakes.framer.website/)
12:06:02	1762772/1762772	---MC-	200	added ('OK')	image/png	etag:%22d9cfaf3fa6f8a1b27b9997cb6d7edb60%22	https://images/YfnIxF0FOsCPymlpyLIB4AyWM.png?width=2000&height=1400	C:/My%20Web%20Sites/Janus%20Studios/images/YfnIxF0FOsCPymlpyLIB4AyWMb938.png	(from https://janusmakes.framer.website/)
12:06:05	897779/897779	---MC-	200	added ('OK')	image/png	etag:%2264d7a16a8df1ee692334b484acaa4a6d%22	https://images/VN7OvygMkoloRyQSvQgER8gJ5U.png?width=1548&height=1596	C:/My%20Web%20Sites/Janus%20Studios/images/VN7OvygMkoloRyQSvQgER8gJ5U3eef.png	(from https://janusmakes.framer.website/)
12:06:05	734891/734891	---MC-	200	added ('OK')	image/png	etag:%22e30328fbbc6d185a20c22496e4b725ae%22	https://images/cwWmdhFj1l29scESv4OPl3DZgxU.png?width=2700&height=1800	C:/My%20Web%20Sites/Janus%20Studios/images/cwWmdhFj1l29scESv4OPl3DZgxUb826.png	(from https://janusmakes.framer.website/)
12:06:06	1271752/1271752	---MC-	200	added ('OK')	image/png	etag:%22f41c80874a7c6b25966de7420e32167e%22	https://images/bQn1L3xwNgOnTiC6IXsjdTd9cg.png?width=2270&height=2840	C:/My%20Web%20Sites/Janus%20Studios/images/bQn1L3xwNgOnTiC6IXsjdTd9cgf24c.png	(from https://janusmakes.framer.website/)
12:06:06	1586161/1586161	---MC-	200	added ('OK')	image/png	etag:%22318a663eca889f3269dd437d30191e50%22	https://images/dEY0EbgoXrmHhxbh8Yl58UP8.png?width=3000&height=2732	C:/My%20Web%20Sites/Janus%20Studios/images/dEY0EbgoXrmHhxbh8Yl58UP8c5e1.png	(from https://janusmakes.framer.website/)
12:06:06	526945/526945	---MC-	200	added ('OK')	image/png	etag:%22df2bde9a880e2c4ab11c748e90c9b5e8%22	https://images/juin6TIMqvwH6HJsbPTM8Cc4mlA.png?width=4000&height=4000	C:/My%20Web%20Sites/Janus%20Studios/images/juin6TIMqvwH6HJsbPTM8Cc4mlA8296.png	(from https://janusmakes.framer.website/)
